29	392
69	389985
61	366687
49	9618
ec	4101
2c	53636
6c	220705
74	201715
2e	34625
6e	230770
2f	21
6f	355822
4d	5064
0d	42413
0a	42413
4c	2835
20	728826
42	2330
22	12021
62	26818
64	131326
47	7994
65	410025
32	11477
72	231437
35	4385
75	111993
73	171928
2d	1249
6d	82289
51	2299
6b	746
67	71918
27	56024
3a	10884
7a	22143
63	139220
28	392
68	38776
45	6406
38	3415
78	3
57	1
30	3132
70	85135
37	3638
77	18
55	745
53	14857
54	2434
4f	1679
4b	356
41	8000
52	1658
44	8487
43	5528
4e	3503
71	15145
31	16284
39	3255
5a	662
66	37591
36	3920
76	58768
33	7346
34	5317
46	1915
48	598
50	4763
40	7
56	1254
58	4
09	35114
5b	35554
5d	35554
21	2159
3b	8199
e9	7062
3f	3222
4a	7
cc	20
ef	2
f4	1
6a	2
f3	6
79	1
ed	1
7d	1
